application_id,defaulted_loan
RQDW2517431510893,1
PVDV9332758676241,0
URSF4685273850686,1
YJTS1891625403689,0
TOOZ5481434265761,0
ZEAU9198961009669,0
BFON3346555246049,1
CYUS9073244141071,0
IYGY0807573467104,1
ZCON5569397065273,0
VZVE2982253663310,1
WOVF1845581806071,0
GCKD1850736769767,0
DEAF4084406193248,1
OLCO1790736298693,1
SSWM5377359756376,0
VHCV9827923745940,0
USUL8844159184297,0
PJXL3658906125679,0
DHQZ1825686444524,0
YWAO2254850646558,1
NZKV7284362572048,0
AJPI3258028992674,0
GWKB7307055719880,0
JWLJ8909502654860,0
OGVM2024582556106,1
CILT6519790940760,0
FYNS4640438328525,0
NQGC9089203347396,0
DTAZ5968916454728,1
HFVX7875890371769,0
XUYA9097516305745,0
KPKR6875580195200,0
HPND5702183301823,0
GTXC9592913048883,1
TGGL8269065488177,1
WIPE6278755664867,1
SGHF0002708075389,0
WJNV7982614719255,0
WMFX9732220994128,0
VKLO1879982946960,0
IQPJ9179696341213,0
PWIQ1879438477397,1
NNDQ4828059142483,0
XYXW7530374743465,0
EWDF4554876823262,0
XSBD9879413749261,1
MOCE2253951467676,0
SKRO8316843248148,0
NGRM5927911905465,0
GOZL0445156425840,1
FKQU2701481127456,0
WTBP4946079006229,1
WADX2205101091652,0
XVFD5962980808411,0
PIWG5246248575924,0
UXNS6256683284734,1
IBCC6844357260815,0
SLZR9247716452123,0
VETR5126202580455,0
OJAK9885648820999,1
NTEY9263205119829,1
IPBO3274568693699,0
CFKO2546920290600,0
XSKL4787469701977,0
DISN2710470441868,0
XNJR0635286509778,0
GYAV0111935911758,0
VRFR9528543758731,1
AGKN6449829548472,1
JOCM5239098451241,0
LIQT4695347506994,0
AESM0855799985308,0
VRIP1070958053571,0
MZVQ9394700816852,0
JMKL9275949796479,1
UDUA2467821925581,0
YTSP1098809526331,0
LMBI2948163052953,1
KFHY3813571942275,0
LSNE8537309579683,0
RJOZ8635539703048,0
EUXM2425478442188,1
CXFB8904850397673,1
ANLY5366409504554,0
KXNG7160066455934,0
YSBB1462213197411,0
JKKO7069884470788,0
IAYB0712835371873,0
YYXC5187998910023,0
CNBI9468618577768,1
SSLK4192719302796,0
MPPE6223199984929,0
CUZC0098920205579,0
YXWK2460360968393,0
IWCE2919077897357,0
WRHD0322306339558,0
HLXG6234021604446,1
IKXW6187254990672,0
CZCN0045550613287,0
IRDL0012731939792,0
ZIIG0717189944943,0
HWVQ8168001206751,0
IKGL0897064574730,0
KPES4089340453134,0
CUTN5927501700076,0
IQRI2911119050990,0
KMGB8449265213420,1
PPLF4944274680236,0
LIKG4553076567398,0
ILEB8421789445632,1
YFLL9572612716756,0
CFQD4439437146504,0
BPIZ3180908579860,0
VOLJ0791796816629,0
FOTL2284631142215,0
JHFF4180536339362,1
ABHZ6872282324939,0
FZQK0043907903521,0
MZCB6051174724396,0
VQZD4033259088327,0
BRVV9144521660456,0
KFZL6144943506418,0
QPPS2796832300687,0
MWQB8721758054916,1
XPNP7098795912447,0
RUUE1387624262053,1
HPQT6000288576911,1
CSED5484792489348,0
TKUS6276322521597,0
VIIV3495918552498,0
JTNA6032756431913,0
HTET2230297401266,1
SARW9013450684992,0
NNQI3089685988856,0
YXUV1311791036353,0
RRHJ3494947105241,0
BVWD3968641855463,0
JTDS1636003865913,0
ALFM0370908987314,0
GZPP5088150964394,0
ULBH4031047396390,0
SCNF5861291956256,1
BBFT6410340167351,0
SNXY0885957876981,0
EBEM8113978977564,1
ZPVF9060564441328,0
YGPT5086228029917,0
NWJW2266056677313,1
BHKB4078582266164,0
VPVH7094524592802,0
AJLF8941490434813,0
SWLY8273753233366,0
XCZW8359504621125,0
RPRX6705321568035,0
BDIV6543910829210,0
IZAX8258746550618,0
YHFH1168573252459,1
CUBX9896186510881,0
DMGT4053713605378,0
ENDP3903142706222,0
IFLV5749523619717,0
GSMS5090090416477,0
DDDL1463444347458,0
VZEE6745670255695,0
WMPH1132623151394,0
OLEK6184096400613,0
FHBU0844487338923,0
YNWA3710621099670,0
YZHJ0019281869391,0
XIMV8804790569159,0
OXXY0553073387649,0
JSTP2229561624458,0
CUVY5769062906640,0
EWLD0468163619140,0
UBZX5436015264922,0
ZSRC7639249766187,0
WPMG8888478771932,0
EEAU7139381978609,0
HOPC0950261974391,0
LHJL0867804866030,1
RDGO0599153566989,0
OTLG2496540555770,0
XTPR5931803011728,1
NFBX4626251305693,0
KLRG9744097342939,0
DRIH6104300974871,1
WMKH3555553316136,0
PRLO3735097895073,0
OCES6309559738995,1
DIXG8049256555570,0
PDZX9713646112424,0
JQPQ2280898737376,1
DLAU7865063615953,0
TIBQ6171031176245,0
OBNH8902545651412,1
ZSVS3032105455855,1
WREA1542433007704,1
RGJL6629802920903,0
SNPQ2241541350212,1
KXEO3665642593373,0
CLLT2464671219604,0
UIAX9179801828849,1
BZHH1012416049859,0
OOXB6545560255763,1
JXIY6898727148832,0
IAWO0208929755858,0
HVGA7158292991958,0
XATQ4982187217672,0
CNUU3688327677973,0
OUWP1027727454954,0
AXDD9837755692352,0
DZPC5134927116411,1
OELH3010726013961,0
AEXB1384296896359,0
KSVG0020336971190,1
UWDJ3138784732034,0
LGKL8143241933727,0
CCVW9867542080851,1
FZQU8251396207262,1
CAVX7749468640158,0
DDXA7099314586185,0
TCZF4473775758497,1
SACZ4463267021065,0
JHPK7856059322488,0
FBJD3596655886461,0
OXJT7971974398129,0
SUMG0312418075431,0
AXAA4053271046540,0
QTNQ9816384898928,0
DEHZ7679554476857,0
XLAX3107759592761,0
JERP9809192353898,0
ZCSE6096843859750,0
CVDD2399624177848,1
WYDG8504594389678,1
LKHX7669303440069,0
JKDY5590268202269,1
YQJP4285872121368,0
LTUY4532319984694,0
RORQ1243887529519,0
YQYU1090080077174,0
CLOS2496938373709,0
VCWX8100585392840,1
HUPQ2302536045805,0
YOEK8638485755606,1
RQQY7136437452572,0
ISOR4573152573546,1
FJZK6692337553781,0
JWAE9073367281196,0
BYWT1179195829450,1
GYPB0329861872231,0
IMQL6476843097115,0
EUEM0667373462623,0
JJRE8518242560319,0
NRGY2453021007514,1
RXFX2431206741212,0
YPTN0601372960234,1
DQSI9532606269568,0
JODQ0205576572391,0
EMPI4983793263106,1
UQYM8032050088874,0
NGVG9155974346460,0
VCGB6096135855878,1
TCID8150907514564,0
BWOX0446371266470,0
HHDU5399381937574,0
UTVX2940670379678,0
REDT2375164811174,0
CCJW4980106367370,0
SSER9052472777591,1
BVPI9583569640423,1
OSYF3015528664039,0
AWQB5689400038644,0
EULK9859669861950,0
JJLT8326332180372,0
QDQJ0991938330601,1
PQSJ0551594220966,1
LKYG8228919382375,0
OYGC4979873364153,1
LTAA2436513842963,0
PLHY8853050875854,0
NLCV3731500827000,0
HNXA8467788533268,0
HZON1650684020305,1
UYMQ1775731175457,0
CNZD8315989086095,0
CFIU5904453454754,0
KYLN7364861134821,0
QAEF2532279014902,0
FSDH2719835689896,0
QJVA7359934347073,0
KXUS2514531894643,0
ARKH2265059354166,0
JPPQ5881027291610,0
QTDM6672713728012,0
YLBY5509875367518,0
QVBL3778786218434,0
DCPJ3641710213817,0
BRSD9232693104794,0
IGBQ4659788004593,1
FDZX4878603466785,0
YLDD5783712059895,0
VBNU0525399758534,0
GCSJ7117279874402,0
RCXA0477303922123,1
KOUY6979424995160,0
QCES6211375054246,1
TXTJ5444063154716,1
EZGG0501422545609,0
PQPJ8377462320479,0
MSPO0852082885238,0
KXYJ8107956036099,1
YESK8925912999890,1
OAFN7343255771368,0
FVGO4963640450934,0
QTZY6271634339597,1
BZNN9327492188070,0
ELAE8946573502564,0
RKSE5604136306835,1
GNQB5538030271776,0
SZVC2460384648063,1
OSPW2736144203760,0
EKNG6232861720323,0
XAOO3999282888157,0
YYCD5991634080301,0
XSNP7377136857136,0
HKBP0315667372402,0
WXYB9149596314381,0
DTFB4478533043035,1
XAFI9078918138678,0
EOZU3968695917519,0
VDRH8381619313140,0
TQRX0001667203751,0
VRXT2984083567480,0
WCMP5885198478097,1
OVIL0936378099244,1
DEXR4418088518973,1
URTH3472617072789,0
ALZR9073480329371,0
SNQQ2998832642739,0
SRFJ6410074324179,0
XYOR2659443392312,0
PVMJ3191233492089,0
PXMG0082306432501,0
YRBJ6205107852931,0
DOWL3857554053323,0
RILI5134146765572,0
WDFT7749413585697,0
DQDP4862127123184,0
DQKJ1669898379558,0
JUGT3288196769782,0
YFOG5718719111223,1
YAHQ5263621506836,0
JGBS5334132435196,0
ZSPT5492538089503,1
CCET1848426563314,0
IVJC7357140610090,0
JETX3874837275285,0
CQCP4661241902825,0
EHHU2111688892836,0
TTMS7072867431843,0
QOGT4853740720129,0
LMXX7575514601784,0
KAFH8935175567627,0
PCSV1742843994304,1
GOID9120392963494,0
DQPC8404611654171,0
CMQJ9964607232220,0
AAFX5096438516077,1
XGVB8197427852312,1
RALT3748751205588,0
PVBR9940401249485,0
CIEL0928453657717,1
DTTW8628712442767,0
ABAY9146004531104,1
REYM5689742357890,0
APRU1351562795861,0
NECN1944125709434,0
UFJQ7585698625630,1
KHWK6034930609731,0
XFCN5606338423221,0
HNDC2862900503392,1
DJGY6471158735036,0
KFSY2182541514165,1
TFSK3031615973684,0
TBAS0666367826908,0
GDGR6560574382601,0
GXXU4276672048549,0
PJBX8872606179347,0
KBHY1353826003268,0
ILNW9358550821220,0
NHRE7204454876270,0
EUPG4141564280119,0
JWSO0364497512906,0
WRFA4793220867971,1
HWDQ4540531943193,0
BFSI0902830955233,0
TWQK5037793421962,0
ICPB5876448135411,0
GFOI2735066476253,0
BHHO8075718449282,0
PKRE9734582183722,0
FABI6699114133627,0
ZKGY7331542640350,0
JCZI1249196851802,1
PGMI5309109894383,0
CJAL7578857715416,0
OOLW0966540187654,0
ZHTG1261392358914,1
AUWC5208524178285,0
IGYW1914515809920,0
VCMH4354549100710,0
NFAD1785766583140,0
HEOH3334023452056,1
UWLP3390223282745,0
DRBJ8645954936272,0
BSBV0970869898029,0
SIDT2138912875499,0
AEEQ3140972304034,0
OLZF8267935327024,0
TGUX7209718130459,0
UGFN8830822294207,0
WQRV1778675305403,0
RQHT4287119192945,1
VWDE1713963368138,1
ZVAS8635510418833,0
FGSD6931032213223,0
UQAX5014713659129,1
QGJS0262853900430,0
WVEW4138764122689,0
ZLAU5776239718153,0
AGZI9928193800146,0
AESS6797398390909,0
GYPK6722293142818,0
LWOS8389657705159,0
VZSR4371444912361,0
IIOR7803025739631,0
XLOY0354628123690,0
CURG4218779194592,0
VDQY1932288543443,0
WTAB7572895692924,0
OSGT7678233421276,1
HRDA8697055962920,0
WCEL7553989396993,0
RJOJ2508192518619,0
GVLL1489436566990,0
RCZQ5155807954130,0
XEHN9855672640634,0
NFWU0781558101805,0
NIUV7613306936302,0
JNGL0282809317757,0
SXKB3569278203211,0
BOWZ2351137360332,0
LSFL6208777291493,1
PKPQ9933870889974,1
JOLJ1330902405205,1
XITZ7188025083227,0
UJBP4257200490380,0
CQRI2967005630078,1
QGSO8743644390585,1
UJPQ9992021225934,0
LUBE8697781370229,0
RDTU8917981288037,0
DTFV0958994656812,1
RNIU7619489636103,0
CXEZ2986656011336,0
OJQA5703504689792,0
TCCP5579599670893,1
RWJY9447310979020,0
LOWK1655768339471,0
IIRJ0466639499326,0
YGVC4450558286575,0
DXKK6288386830291,0
IAUW2790861063165,0
QCSR2769083965979,0
ZJHC6284469515063,0
PSNH0418304257784,0
OWRN3708547301387,0
NCMD2715377836927,0
XOSY1757984517265,1
KNAI9900884591498,0
VSTJ4978536933440,0
TDFV4452552489393,0
EBXX5843560882120,0
VFYG4237923828462,0
LEBD6766556123787,0
YALH3981632942526,0
YXGE8007846063728,0
YGTM0113009493723,0
XICI8413789206054,0
LRSK4724533730806,0
FVBT7146803778689,1
SQKV6774283673986,0
PIKG4884918515920,1
PAGC9212380118608,1
OPLP9296151924462,0
CCUL5666794015369,0
BIAW0093485249392,0
MTEK4958923479174,0
RZVV9066040208836,0
YDSW9469978439605,0
FIYI4684692972638,0
JWHU6301725735278,1
PKUX2149998773251,1
BNUJ6567291130337,1
MYST9488055234300,0
FDTI0451402390410,1
LSGD5492102324596,0
WYDN3236056967782,1
EWXT4474425529867,0
CGKG1218418761123,0
BCFJ2035483321259,1
NGPI3296301140983,0
IOGO7378583558960,0
ZAQI7771706082198,0
VXHN7403801811085,1
MUIP1404282476822,0
WFXI4239006050859,0
IFFN5512603629069,0
HBDJ9675001772207,0
UYNT7575374228849,0
TWQJ0040378009278,0
NEXZ2293048934396,0
WVQU9537957644503,0
ZIDS1152284699922,0
GISX0341198049036,0
AMEL9520540165390,1
NHKB5599025495137,0
GXMR2524719185294,1
MHCX7528871244478,0
QABT1967861365285,0
LFGR4968018193970,0
YWAW2333805929630,0
DRSC7152643952384,1
YBAW8636189345951,1
JVVY9504978919867,0
KLWL9851842610826,0
KDUW3272439295519,0
MEYM1265237669440,1
KCJD7891424587991,0
YNCY2203129457311,0
CORP8424524222714,0
FSAO8067760464520,0
WKND9420595604243,0
KPUM5635744252986,0
FUVC7849765057369,1
QARF1580350742567,0
ICDR7678907365326,0
SWDM8591957086313,0
AFKP6780051022846,1
CNSE9636919380866,1
OCFP0596076796699,1
GODY8046137293053,0
SNDD6769457874960,0
NDHI1652774347673,1
VYVW6767336364699,1
LTEE7362284538984,0
DHLV5553207248607,0
UVSM6439791772265,1
ZYPJ8713463930367,0
VEER2439082996074,0
ZQWO4834686015116,0
VBIU9244043664190,0
PIZF2688432162735,0
FUIQ4778405430306,0
VUOW0271760082610,0
INMO4014510541345,0
ACDN4824530252855,0
TDXE3427195552492,0
NXUW7516634135507,1
LISG0454861447205,0
IXPS2775814772506,1
XTCG0344862391375,1
WYQU5878756297586,0
XYYG6554096919699,0
ROLD4446708867594,0
YEFH0008497164252,0
JLQK8209685323685,0
MMWO9736815067998,1
QGDI9672086320665,0
UZMC6316294116885,0
LPZP1324060517630,0
VKNF4302904977396,0
SLHP6523953797641,0
FMEG2892497491082,0
SSGS2403363852936,0
CLEL7002045795666,1
JQTZ6433248112560,0
VAOA8004039507464,1
ENCD6234909968112,0
BNCR0948286546599,0
MEIR8696941480792,1
AMOJ6130330473732,0
ECWW8298356196209,0
QABK6779461064615,0
WODK3722372999090,0
GXUD6626442185301,1
UQKN9981946180999,0
UKEA2301434694651,0
NUQK8697572457350,1
EKEN2837007047925,1
THVN2799784219318,1
EVNM5661871489540,0
IRUY7984289634537,0
UWEV8265695025254,0
CFJE4669819615257,0
MLMR1668081032576,1
ERGP1543121319587,1
BRVY9607649957587,1
NXRK3096953508444,1
GXDW1215739511287,0
YNPP7678564742403,0
AJHX8812546229245,0
QHKF0424048813557,1
CHPS4727790595543,0
XHWX5862317671420,1
HJGP7142708419025,0
LNVX7503388320294,0
KJLB1267034929563,0
YQFJ0861081731340,1
GATF4127992381716,1
MKVA8907646978245,0
WTGI1853156266050,0
VAHL3727610235228,0
VWHY2132465815948,0
VHLK6877975023770,1
TIYP7803978944196,1
MBRN7057644122327,1
QQJQ0709811724923,1
XQYJ9921790067073,0
ATUL5643777888352,0
DXGR7518908334498,0
HYIF1859928621253,0
XJMV8259818906026,1
DZLC5870571888616,1
ONBH8173987615414,1
XBAZ4224326526940,0
PSLO9209160891898,0
JKRK1691624401918,0
CBSD8476051424214,0
VEML7234001692872,1
ABFQ1701977755656,0
PITK1530811585657,1
MZHN0376557262275,0
PGFO9534858419479,0
YFBO6638079117251,0
VNRB6450509381826,0
KNJA4880113736323,0
QJDV5440190244715,1
BFPT8748006139648,0
DYEJ6644383517048,0
BWUU4465169784103,1
PJNT7148455148848,0
YPHN4132177715873,0
UHBS1859251340413,0
PORN3309595713930,0
TVYG5755040100045,0
WCXW5749970000985,0
CVAM7006205905429,0
ZABV7070963279809,0
NZFM6400896564669,0
KDGU0990401412901,0
MBLF6699534250895,0
TFMY0987804810859,1
IXZJ3867117982695,1
VOAV0601819893598,0
PPFD1133001925291,0
TCWY7460642024035,1
HNFK1568162078914,0
IFCK0887476323957,0
LTND2945081811222,0
DFAP8356880484055,0
ZGEO1954242988203,0
HYZQ1845248280876,0
YAKJ9992540018549,1
BRVJ5340084845370,0
ZSLK6018459650501,0
EGIQ7384607531137,0
PAPQ0015316200075,0
LGTP0299982438339,0
WOCS8193144147542,0
JPUW4801394074100,0
DULI1139064803314,1
CFKG1529340115710,0
URZC1994810046205,1
ZIEM8783193344590,1
REOA5470053108291,0
CCSQ5085713823510,0
RSYR5503311818767,1
SGQA5481622648905,0
SVHD1487900379213,1
MPLH9235326877124,0
NITN4569774999707,0
FKXW4866387485604,1
FHRF1397467274863,0
ZZXY3338198306616,0
YWTA6407687385009,0
LEJC0970432476158,0
BKQR9752923706527,0
ZTRV8086308237470,1
PRGA7897662310535,0
DXOU6338795435840,0
UGPU4217619147871,0
DUQM4993611124959,0
EFVO1877070938053,0
KKNG7410790252892,1
DJVC7744709571529,0
VKQC4330497991383,0
WUTF2743869936492,1
FEXF2032146612308,1
DLJS1848725466932,0
PNKP3067247185461,1
ZXUJ4804089359842,1
HVEL3061987789952,0
EDYJ8908318517170,0
ZNTD6865412786156,1
SJDF6985169576189,0
CQIN2679557040155,0
BKPH3650336586851,1
CYCJ6815807631784,0
ONML7566621944162,1
JHHP1901821267284,0
KBOC9984313820491,0
EMQH7219735579553,1
YZPZ4380900927895,0
ZTGU5847399697816,0
SDHK9228607176460,0
NMLR5681994064914,1
RBGM2979020699361,0
JBDI6779436132124,0
QKNX5326479137898,0
XFSU6023148639754,0
WYOT5601107451332,0
ZSNN5936512434985,0
OQCH8526139524853,0
ZHJG9469666882923,0
NJSZ5289464619271,0
IKYN9642639649186,1
ZSNC4550088596727,0
PBNF8199431947130,1
WUQL9934587902756,0
OVSO2519975911743,0
VEJM9488225613150,1
LMGF5549137738370,0
YCDS6856325730551,1
MBCT6199579778164,0
EIQD3205320600814,0
WMCD4642974016995,0
IPYS3767766028827,1
JDDV8657104634295,0
BAOK1035635476065,0
VUKU1681250259558,1
DNBQ3350499593937,0
JNSD0227500334442,0
ROSG9654791971838,1
MXEO1416119483162,1
BTOU3023408410492,0
KVDD3323237477921,0
HAGG3382279273464,0
HPKD3667820887461,0
RVHY1139462641757,1
SRFE8847530480558,1
KIHU9992371657288,1
IRKJ9775588232734,0
LDGH9832644602185,0
XYOH9552375191427,1
NQWL0232863157907,0
GQID7886498353469,0
SJLC5937680524928,0
VMBZ9892363854055,0
HOOY0446543628426,0
MPJD1765954010714,0
NINU7287314184761,0
VVRN9984696843455,0
RPJZ5384179858975,0
GTQL4768825163976,1
AAOU0921748436031,1
RACI6398527231223,1
ZICR1725793013863,1
QSGL0834689289564,0
XGYS2238157226313,0
BPPM6362847702042,0
SCSB9855294176753,0
FZGT4412292989128,0
COXK8425418497083,1
PGYD7655830583202,0
LAFN4857457496870,0
TFDB0523342687824,0
GMCB5484545153960,1
IZEN4569994031371,0
YAEX3574972512881,0
SOJO0714832527588,0
KLRN7600699102159,0
UGWR4096650188320,0
FIDY4939736214625,0
KVRE6181366654123,0
LLAC4136024913561,1
MUWO6104654501595,1
KJMQ0914479942527,0
KGLY4447409661054,0
LDXM1584815493681,0
ZTQA6055604255540,0
WKFC6738514777015,1
IQFP7614352018378,0
KPYX3775756743481,0
WOXZ2109226277546,0
GAWI2374085683026,0
BBMZ6356394844366,0
QPSX0034501628379,0
KYSE6938517836957,0
LVFY5048786163818,0
CSFS3145252862373,1
KODB2161650864438,0
AKFT6599428973587,0
CDDI5240454860064,0
ZOQZ8487936403176,0
TOOT6777632387649,0
SRFU7344185378427,0
OPHG1263062158525,1
HXIW4221885175022,1
PCEK2102956395684,1
TAVK0848483590941,0
OMYQ8452749181807,0
GTQK3883999646015,0
WNBT1236544789359,0
WCHC5000447512746,1
IEZY8997174219297,1
BLMU0715386700125,1
FNVP9907526148633,0
BCXH9914988710845,0
JBLE2657684334691,0
SVSZ1620653264231,1
OGNW4412760972112,1
SLTN4843436618268,1
XAYB8278937162201,0
SUTX3100456504785,0
ICVG1732010672172,0
NLGR7048917758890,0
DHLO8550227901451,0
LWOR8713133011494,0
XCAJ0634421953718,1
MKBS2314303235156,0
RGBC2400077896313,0
DGDT7180002809078,1
GXSN2337758024286,1
UQJA8395018700857,1
WHLR4389397212089,1
XXTQ9235345122547,0
GSUS5381148461694,0
HYGJ6087225887350,0
TQKV6909654402021,0
BCZS6896056557106,0
QLUC2518095049748,1
GGIU9787727783381,1
UKMC4170258706029,1
FISI6031406591120,0
SLDC7436359672411,0
ATEF4968689641302,0
RAIH3399164994750,0
MEVP9936972916451,0
ZBBV2272021825611,0
VLDG9670967268015,0
LQFU6398263150333,0
AJZM7805955927858,0
GGPV0038629143689,0
FCFQ7154722264630,0
TWRP2913264706075,0
GQVM3374412480477,0
ETUK8260355405373,0
ANMY6478953762912,1
CKRR4402256228858,0
QYXH0902642251056,1
OLJG2650146927948,1
XPWI4495569827455,0
RWRQ5804655479824,0
LNWL4832876738156,0
UVKU1306802056000,0
KSZE7460485808984,1
DTRK8384966557767,0
ENCO1305695916104,1
FRYN4857311268890,0
TGAO3561841657819,0
QKGP6863623422872,0
